dispatching_base_num,avg_minutes_between_rides
B00001,34.2
B00008,33.9
B00009,6.07
B00013,10.94
B00014,6.9
B00021,8.27
B00029,7.07
B00030,183.04
B00031,34.47
B00037,5.05
B00039,37.99
B00053,55.57
B00054,33.73
B00056,25.21
B00078,35.12
B00084,2402.0
B00095,8.08
B00111,2.59
B00112,11.17
B00131,58.73
B00149,10.65
B00151,147.9
B00160,20.02
B00170,35.73
B00171,15.35
B00196,104.62
B00202,102.85
B00208,203.72
B00210,59.93
B00220,25.0
B00221,5.84
B00222,13.24
B00225,5.46
B00227,6.14
B00235,23.74
B00236,70.27
B00248,2.44
B00254,2.6
B00255,87.45
B00256,0.79
B00271,4.12
B00272,10.83
B00277,29.22
B00278,1338.98
B00280,12.29
B00281,25.57
B00290,30.55
B00296,36.17
B00310,1.54
B00318,10.37
B00319,44.5
B00325,85.53
B00337,33.61
B00345,214.97
B00346,27.96
B00350,8.19
B00369,44.3
B00373,25.12
B00375,3.6
B00381,9.08
B00385,9.59
B00387,137.34
B00401,58.36
B00411,36.37
B00412,4.77
B00429,8.55
B00445,4.97
B00446,10.13
B00448,5.67
B00449,18.42
B00457,2.54
B00459,5.79
B00472,45.08
B00475,26.8
B00477,4.97
B00485,1222.79
B00492,10.91
B00531,21.82
B00536,7.3
B00548,66.03
B00552,71.5
B00556,82.01
B00559,14.89
B00597,31.26
B00608,23.49
B00619,114.3
B00623,146.27
B00625,10.33
B00628,5.13
B00639,23.58
B00647,0.74
B00652,17.45
B00653,44.05
B00692,15.88
B00693,6.61
B00706,4.85
B00727,25.94
B00746,166.54
B00756,6.58
B00789,4.57
B00802,6.72
B00811,23.9
B00821,2.05
B00823,2.99
B00827,34.39
B00837,4.33
B00850,84.26
B00855,143.74
B00856,3.34
B00860,1.55
B00881,119.73
B00882,274.11
B00887,1.38
B00888,27.66
B00889,3.62
B00900,0.91
B00906,60.92
B00911,4.87
B00919,4.88
B00932,14.0
B00937,0.96
B00948,3.02
